# dataset=ninapro
# features=full
# window_size=800
# overlap=0.9
# split=random
# train_ratio=0.8
# models=LDA,NaiveBayes
# pca=None
# select_k=None
# cache_key=ninapro_ws800_ov0.9_full_0dac4ba0
# subjects=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
# exercises=[1, 2, 3]
# include_rest=False
# created=2025-12-27T21:01:20.196036
split,model,accuracy,f1,model_path
random,LDA,0.7893617021276595,0.6756832730542085,/Users/laurits/Documents/Uni/ML/EMG_Project/results_ninapro_lda_nb/models/ninapro_full_random_LDA_20251227_210120.joblib
random,NaiveBayes,0.6382978723404256,0.5703798306188769,/Users/laurits/Documents/Uni/ML/EMG_Project/results_ninapro_lda_nb/models/ninapro_full_random_NaiveBayes_20251227_210120.joblib
