# dataset=ninapro
# features=full
# window_size=400
# overlap=0.9
# split=random
# train_ratio=0.8
# models=LDA,NaiveBayes,QDA,QDA_reg
# pca=50.0
# select_k=None
# cache_key=ninapro_ws400_ov0.9_full_65b4cee4
# subjects=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
# exercises=[1, 2, 3]
# include_rest=False
# created=2025-12-27T21:21:48.120542
split,model,accuracy,f1,model_path
random,LDA,0.5631399317406144,0.5605590471337598,/Users/laurits/Documents/Uni/ML/EMG_Project/results_ninapro_lda_nb/models/ninapro_full_random_LDA_20251227_212147.joblib
random,QDA,0.9613196814562003,0.9631673898157659,/Users/laurits/Documents/Uni/ML/EMG_Project/results_ninapro_lda_nb/models/ninapro_full_random_QDA_20251227_212148.joblib
random,QDA_reg,0.946855192588981,0.9487637906181388,/Users/laurits/Documents/Uni/ML/EMG_Project/results_ninapro_lda_nb/models/ninapro_full_random_QDA_reg_20251227_212148.joblib
random,NaiveBayes,0.5540386803185438,0.5558963345290622,/Users/laurits/Documents/Uni/ML/EMG_Project/results_ninapro_lda_nb/models/ninapro_full_random_NaiveBayes_20251227_212148.joblib
