# dataset=ninapro
# features=basic
# window_size=400
# overlap=0.9
# split=random
# train_ratio=0.8
# models=LDA,NaiveBayes
# pca=None
# select_k=None
# cache_key=ninapro_ws400_ov0.9_basic_582d71e7
# subjects=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
# exercises=[1, 2, 3]
# include_rest=False
# created=2025-12-27T21:00:18.135601
split,model,accuracy,f1,model_path
random,LDA,0.6172598732325695,0.6121991268806666,/Users/laurits/Documents/Uni/ML/EMG_Project/results_ninapro_lda_nb/models/ninapro_basic_random_LDA_20251227_210018.joblib
random,NaiveBayes,0.41491955143832276,0.39803875541450506,/Users/laurits/Documents/Uni/ML/EMG_Project/results_ninapro_lda_nb/models/ninapro_basic_random_NaiveBayes_20251227_210018.joblib
