# dataset=ninapro
# features=full
# window_size=400
# overlap=0.9
# split=random
# train_ratio=0.8
# models=LDA,NaiveBayes
# pca=None
# select_k=None
# cache_key=ninapro_ws400_ov0.9_full_65b4cee4
# subjects=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
# exercises=[1, 2, 3]
# include_rest=False
# created=2025-12-27T20:59:33.414297
split,model,accuracy,f1,model_path
random,LDA,0.7168860718348773,0.7154355472303906,/Users/laurits/Documents/Uni/ML/EMG_Project/results_ninapro_lda_nb/models/ninapro_full_random_LDA_20251227_205933.joblib
random,NaiveBayes,0.4727775069071997,0.4620870738245881,/Users/laurits/Documents/Uni/ML/EMG_Project/results_ninapro_lda_nb/models/ninapro_full_random_NaiveBayes_20251227_205933.joblib
