# dataset=ninapro
# features=extended
# window_size=800
# overlap=0.95
# split=random
# train_ratio=0.8
# models=LDA,NaiveBayes
# pca=None
# select_k=None
# cache_key=ninapro_ws800_ov0.95_extended_70c8b3f1
# subjects=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
# exercises=[1, 2, 3]
# include_rest=False
# created=2025-12-27T21:04:17.053638
split,model,accuracy,f1,model_path
random,LDA,0.8312342569269522,0.7711322263993033,/Users/laurits/Documents/Uni/ML/EMG_Project/results_ninapro_lda_nb/models/ninapro_extended_random_LDA_20251227_210417.joblib
random,NaiveBayes,0.6259445843828715,0.6201569508408145,/Users/laurits/Documents/Uni/ML/EMG_Project/results_ninapro_lda_nb/models/ninapro_extended_random_NaiveBayes_20251227_210417.joblib
