# dataset=ninapro
# features=full
# window_size=600
# overlap=0.75
# split=random
# train_ratio=0.8
# models=LDA,NaiveBayes
# pca=None
# select_k=None
# cache_key=ninapro_ws600_ov0.75_full_6b92b5a3
# subjects=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
# exercises=[1, 2, 3]
# include_rest=False
# created=2025-12-27T21:01:39.510851
split,model,accuracy,f1,model_path
random,LDA,0.7090367428003972,0.6931149292922361,/Users/laurits/Documents/Uni/ML/EMG_Project/results_ninapro_lda_nb/models/ninapro_full_random_LDA_20251227_210139.joblib
random,NaiveBayes,0.5203574975173784,0.4994970401585608,/Users/laurits/Documents/Uni/ML/EMG_Project/results_ninapro_lda_nb/models/ninapro_full_random_NaiveBayes_20251227_210139.joblib
