# dataset=ninapro
# features=extended
# window_size=400
# overlap=0.9
# split=random
# train_ratio=0.8
# models=LDA,NaiveBayes
# pca=None
# select_k=None
# cache_key=ninapro_ws400_ov0.9_extended_7d3c0afa
# subjects=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
# exercises=[1, 2, 3]
# include_rest=False
# created=2025-12-27T21:00:48.215254
split,model,accuracy,f1,model_path
random,LDA,0.6609783845278726,0.6561845867252027,/Users/laurits/Documents/Uni/ML/EMG_Project/results_ninapro_lda_nb/models/ninapro_extended_random_LDA_20251227_210048.joblib
random,NaiveBayes,0.44514870794734274,0.4321124450328798,/Users/laurits/Documents/Uni/ML/EMG_Project/results_ninapro_lda_nb/models/ninapro_extended_random_NaiveBayes_20251227_210048.joblib
